UserId;OwnerUserId;NbrOfComments
381;381;126
560;386;4
615;560;2
386;386;6
62;456;2
62;386;2
434;59;2
496;434;2
14;434;2
646;638;2
638;638;2
133;108;2
108;108;8
471;84;2
471;663;2
663;663;2
515;663;2
158;514;2
514;514;6
21;534;2
555;434;2
434;478;2
366;714;2
122;609;4
381;714;2
381;514;4
381;754;2
554;14;2
50;265;2
554;574;2
754;754;6
456;743;2
598;514;2
62;194;2
62;434;6
434;434;9
108;514;2
791;780;6
471;122;2
471;134;2
471;791;2
791;791;2
97;735;2
457;115;4
434;62;4
457;554;2
434;194;2
115;115;5
762;735;4
791;434;2
434;587;4
587;587;4
780;780;6
791;514;2
84;158;2
158;801;2
735;735;2
108;62;2
434;737;2
434;386;4
471;151;2
84;780;4
534;534;3
97;548;2
872;735;2
762;158;10
791;846;2
675;158;4
515;872;2
227;548;2
548;548;12
554;178;2
178;889;2
843;872;2
515;890;2
548;890;12
381;890;2
890;172;2
890;890;2
322;890;2
886;178;2
886;889;2
910;122;2
910;890;14
910;548;4
836;88;2
343;122;2
478;913;2
913;913;2
115;88;2
241;906;2
913;241;4
241;241;4
84;241;6
515;908;2
84;743;2
539;548;2
872;548;2
322;780;4
322;381;2
609;609;13
426;21;2
839;609;2
322;84;4
869;84;12
836;960;2
743;84;2
553;960;2
84;548;2
886;403;2
322;62;2
322;989;6
989;989;16
84;989;4
;986;4
743;986;2
178;994;2
403;403;2
84;1015;2
227;957;2
1011;846;2
227;960;2
84;960;4
1011;880;4
1023;250;2
381;684;2
922;1021;2
684;684;14
953;418;2
957;957;2
957;59;2
1028;1011;2
1011;1011;2
84;108;2
84;273;2
119;514;2
119;548;2
113;21;2
986;984;2
941;548;2
984;984;14
84;941;2
609;684;4
84;97;2
941;941;7
880;880;2
381;1015;2
84;985;2
960;984;2
1085;989;2
846;515;2
1061;985;2
960;960;2
515;515;2
322;1107;2
289;548;2
1085;289;2
289;289;4
418;289;2
886;968;2
793;1085;2
471;1125;2
322;1125;2
322;1131;2
289;322;2
322;322;5
984;1131;2
1138;1047;4
1011;1107;2
322;1011;2
1138;1011;2
1147;1147;6
1085;1147;2
1138;941;4
1138;418;4
989;1096;4
1085;964;6
237;1163;2
1163;1163;2
964;964;25
1167;1147;4
322;609;6
890;1155;4
;1147;2
1177;1165;2
1155;62;2
1155;1085;4
1155;1155;8
471;1162;2
1085;1085;8
237;434;2
1155;250;2
1165;1165;2
1155;917;2
1155;14;2
924;1147;2
153;1162;2
1193;490;3
62;960;2
1196;1192;2
84;278;2
1155;1207;2
1207;1207;2
1207;1155;4
1085;1207;2
322;1208;2
984;1208;2
322;478;2
322;941;2
21;838;2
941;1155;2
836;1085;4
1237;994;2
953;994;2
454;1223;2
1235;21;4
1223;1223;2
1256;964;4
1230;474;2
474;474;3
1193;548;2
1107;941;4
1107;883;2
609;434;2
1192;1192;4
265;265;2
322;1273;4
322;26;2
1273;1273;6
322;684;2
989;1085;2
989;454;2
471;434;2
471;1208;2
684;159;2
984;754;4
159;159;4
24;754;2
754;984;2
24;434;2
836;843;2
133;964;2
322;1240;2
836;1300;2
92;1273;2
21;1235;2
1155;1235;2
1283;1283;3
1235;1235;2
434;1314;2
21;1314;7
1315;984;6
1315;375;2
113;133;2
1300;548;2
1300;1300;2
1315;1279;2
11061;26562;2
33738;21608;2
33738;40827;2
21608;21608;60
40584;29451;2
40827;40827;5
41397;26562;2
31434;30000;4
41414;38892;2
3327;41410;2
38892;38892;57
21254;21254;21
28317;24162;2
39590;29451;2
41410;41410;2
1029;41448;2
41448;41448;2
41451;24593;4
38887;26562;2
29575;41467;2
41467;41467;2
924;26562;6
13727;32220;4
26562;26562;44
8432;8432;6
26562;3360;2
3360;3360;2
40710;16236;2
2496;514;2
836;21254;3
41419;21608;12
26788;41490;2
33202;41487;4
14904;14955;2
41492;31676;2
29109;14904;2
29451;29451;12
8820;836;10
30335;8432;4
30335;29451;4
29575;20589;4
41487;41487;2
20589;20589;6
41460;924;2
14360;29451;2
323;41448;2
2968;41532;2
2968;4621;2
24162;24162;22
38744;2511;4
41532;41532;2
24162;41454;2
41454;41454;2
41499;32901;2
24162;11124;2
41535;41525;2
31676;31676;4
836;33386;4
19161;33386;2
14675;31046;8
24162;3360;2
836;41557;10
2511;2511;7
31046;31046;9
23495;41532;2
41525;41525;36
41557;41557;7
3070;9518;2
20589;32599;8
32599;32599;4
41566;41571;2
41525;37648;2
28599;41525;2
33202;8820;3
38506;26562;2
41525;38506;2
38506;38506;12
41525;14675;2
41297;26562;2
37648;41525;2
41532;17208;2
32220;13727;10
13727;13727;76
41597;29451;4
41571;41571;2
38887;21608;2
41525;41612;6
41612;41612;8
41525;28175;2
41525;41616;8
41525;41620;2
41525;13618;2
381;41616;2
35463;24162;2
24593;41612;2
41460;38887;4
32220;38887;2
41616;41616;6
38887;38887;34
836;8820;22
41385;24162;2
34304;14360;2
17538;28175;2
38744;38887;4
14588;41597;2
12341;41612;4
27665;27665;19
28175;27665;3
41651;12827;2
41597;41597;2
6550;24162;4
2511;38887;2
381;28175;10
41663;28175;2
41663;38887;4
8432;37776;2
41525;37946;2
836;41672;2
41672;41672;4
41525;41672;2
37946;37946;2
37946;1424;2
41525;1424;2
23305;41675;2
41616;41525;2
41220;40853;6
21608;41688;6
39569;1424;2
836;14904;19
14904;14904;116
836;41036;4
41036;14904;6
41036;41036;2
41688;41688;6
41419;41525;2
40029;38887;4
17208;17208;23
41701;41701;2
41675;41675;2
;41755;2
21024;41755;2
40867;40867;6
37376;33812;2
14829;1330;2
41672;836;2
381;40867;2
41717;39588;4
39588;39588;2
836;41736;8
41736;41736;6
381;41741;4
41741;41741;2
24593;20572;2
41668;41752;4
41752;41752;4
41752;40891;2
1029;40891;2
40891;40891;6
13727;41491;2
41747;40853;10
24162;40891;2
836;40891;2
26562;41764;2
41750;41491;2
28917;28917;2
41240;28917;2
21608;41785;2
836;33334;6
33334;33334;4
30982;33334;2
14588;41701;2
29587;41491;2
14588;26009;4
41785;41785;2
41491;24162;2
33202;35764;2
23305;1330;2
41750;40853;3
381;41828;2
381;41823;2
381;41814;2
38887;8517;2
38887;16416;2
38887;41491;2
41612;1330;2
381;8432;12
381;41844;2
29587;41828;4
15412;41843;2
26009;26009;4
41801;13748;6
40853;40736;8
31639;41854;2
41854;41854;2
41828;41828;4
13727;41857;4
41857;41857;4
27645;29451;2
27645;27645;6
40853;41823;2
40736;40736;11
40736;40853;2
32860;33922;2
10372;21608;2
10372;26243;2
1426;34204;2
13748;13748;14
33375;29217;4
8005;40904;2
41885;21608;2
40904;40904;2
8820;41886;2
381;32860;2
8005;29451;4
29217;29217;38
41886;41886;22
37184;41894;2
41894;41894;2
32860;41886;4
41888;29451;2
381;10683;2
41894;41525;8
41525;40879;4
41897;41525;12
8005;41894;2
41525;40853;2
41886;41525;2
29587;41913;2
40853;5091;4
38657;8820;2
41881;38887;2
40029;40853;6
40879;40879;4
41922;24162;4
41036;24162;2
41888;40853;8
24162;2513;2
381;41913;2
29575;41478;2
41460;41886;2
41478;41478;6
41886;41913;2
41886;3159;2
40853;41948;4
41913;41913;2
1077;18818;2
41886;41957;2
16911;40853;4
41948;23305;2
41948;41948;2
41957;41957;2
41968;40853;6
836;31316;6
30578;41975;2
31316;31316;7
836;41975;2
15527;41478;2
1029;41979;2
41979;41979;2
8005;41639;2
16853;28175;5
41886;31316;2
381;41990;4
41968;24162;9
381;41995;4
41886;41995;2
23305;23305;80
381;42000;2
40853;42008;4
29575;40853;4
42008;42008;2
381;42008;2
40853;41886;8
41886;27432;2
381;42009;2
41995;41995;2
32963;32963;8
42000;40853;6
42008;40853;6
12438;24162;4
381;40240;2
381;41929;2
41463;41525;2
42029;41886;2
32963;14904;2
24162;39820;2
18818;18818;7
836;42046;2
6550;39820;2
17041;40853;2
41987;27237;2
40853;42058;10
42058;42058;8
42058;17959;4
42058;27665;2
2968;40853;2
40853;41812;6
41812;41812;4
40853;41747;8
42076;40750;2
42081;41886;6
41886;18818;2
34204;34204;2
40750;40750;4
381;42081;2
42094;836;7
41886;3507;2
42082;21337;2
21;40853;2
39820;39820;6
40853;39820;4
2511;39331;2
2511;41491;2
18626;836;11
40853;42123;4
32963;924;8
40853;37808;4
37808;37808;6
381;24379;2
23305;21608;2
23305;27202;2
26562;26856;2
26856;26856;4
26856;26562;4
471;27194;2
9121;22059;2
26413;21608;4
27255;14578;4
27250;26562;6
25157;24895;4
27286;27287;4
27287;27287;2
8152;12985;2
24895;24895;12
27279;5041;4
5041;5041;15
381;26202;3
17978;27313;2
27286;27229;2
27229;27229;4
25504;2454;2
26415;27296;2
15412;27296;2
16853;26415;2
2454;2454;5
16853;12785;2
27313;27313;2
471;10620;2
16538;27335;2
26394;27335;2
836;14675;7
27250;12202;2
14372;16380;2
26724;14372;2
27364;15766;2
26856;16853;2
27197;26562;2
27371;21608;2
26394;27389;4
381;24409;4
24409;27360;2
27330;14675;2
27396;26394;2
381;2861;7
26394;26394;35
27250;18540;2
27250;26976;2
26976;26976;6
18540;18540;10
9634;26202;2
23305;10751;2
16370;14684;6
14684;14684;4
21608;27420;2
27389;27389;2
27433;13508;2
21024;2452;4
27356;27436;2
27356;26426;2
12384;27403;2
27435;26394;2
12202;27356;4
26917;816;2
27356;27356;4
13727;27432;4
27432;27432;35
471;17267;2
16853;17267;4
16853;26019;2
8005;20585;2
26939;13727;2
17267;17267;2
16853;27436;2
25157;21608;2
23305;13518;2
27489;8944;2
27490;27356;2
12417;12985;2
12985;12985;4
27421;27506;2
27509;13023;2
471;27506;2
14360;17696;12
17696;17696;28
27522;16148;2
21608;17696;4
25218;8820;2
25907;25631;2
20372;27506;4
26019;20372;2
20372;20372;14
27421;26141;2
24696;21749;2
13727;27426;6
27426;27426;9
26141;26141;4
27432;27540;4
27403;27403;2
10907;10907;6
11097;27540;2
27551;27250;2
27250;27250;10
27194;27194;2
27194;2576;4
27432;84;2
27194;27567;4
2576;2576;29
2454;27559;2
12384;21044;4
471;27577;2
27250;27566;2
27566;27566;2
27566;27250;2
14372;26163;6
26163;26163;20
27432;10456;2
12384;27613;2
9135;18429;2
18429;18429;2
26163;13727;2
8560;6387;2
8560;27632;8
26562;26477;6
26477;26477;6
8560;1426;4
8560;5241;2
8560;12710;2
8560;13002;2
8820;12515;2
27250;13165;2
23305;13165;2
8560;27420;2
13165;8560;2
13165;26562;2
13002;13002;4
27640;13165;2
8820;2975;2
27432;5041;2
471;23511;2
26163;21608;6
27607;12527;2
24996;26163;2
24996;27194;2
24996;27567;2
8820;15469;3
27621;13002;2
12384;27645;6
12384;27641;2
836;17435;4
17435;17435;4
12384;27649;2
27626;9728;2
27347;19161;4
27432;19065;4
23305;26163;6
381;27668;2
27250;26477;2
27432;27579;2
16853;23195;2
23305;8820;4
21;3504;2
21;13002;4
27460;13002;2
26562;20978;2
27682;23305;2
26562;23633;2
23633;23633;4
26163;27551;2
26163;24996;2
836;27710;8
27710;27710;6
27632;17310;2
24996;24996;2
18150;14779;2
18150;20978;2
20372;23633;2
20492;27712;2
14779;14779;11
27250;20448;2
27250;75;2
25800;27714;2
75;75;14
25157;21749;2
26562;27756;2
9053;26596;2
26394;27741;4
836;27756;2
14904;16712;2
27551;27551;2
27003;26050;2
836;20978;2
26050;26050;2
27768;27426;4
21024;27741;2
24996;27776;4
27776;27776;2
14675;27776;2
14675;14675;72
27432;27776;2
836;27776;2
12384;25100;2
12384;27616;2
27616;27616;2
21951;27645;2
27741;27741;9
26939;21608;2
26939;27426;2
25100;25100;8
21608;25100;4
21024;25100;2
14904;21024;4
27432;26202;2
27788;10992;2
27740;27632;6
17208;27740;6
471;27822;2
27822;471;2
381;27824;2
381;9867;2
381;24157;2
471;471;7
27436;8560;4
27632;27632;7
381;26163;4
21608;14360;8
27693;12343;2
27693;8878;2
10992;10992;2
6550;12343;3
836;13727;2
27740;27740;6
13727;924;4
27534;27347;2
27003;10462;2
14904;14360;7
27788;924;2
27540;27432;2
27540;27540;2
25744;836;4
25744;27838;2
14360;14360;24
10462;10462;2
21608;27868;4
15613;21608;2
8878;8878;166
836;15325;2
836;26050;2
27864;21608;6
27432;27868;2
6478;9867;2
8005;27896;2
16853;27741;2
27868;27868;2
21024;27902;2
26202;26202;5
26202;9123;2
27896;27896;2
12341;27432;2
24996;27902;2
27915;27741;2
14675;26976;2
17208;8820;2
19255;19255;2
27922;27002;2
27250;27010;2
27255;9053;2
18416;8820;6
8560;23144;2
23305;27929;2
5041;18626;2
26917;15569;2
381;16853;4
16853;16853;25
16853;27934;2
24996;20907;2
11097;27962;2
27958;26394;2
27003;26394;3
27973;14578;2
20907;26050;2
20907;20907;4
381;27974;2
18540;10163;2
924;27974;2
27010;27250;8
8005;27954;2
20492;1426;2
1426;1426;10
381;1426;2
381;27992;2
381;27934;2
27992;27992;4
21670;27992;2
676;27991;2
16379;27426;2
836;28012;2
1426;381;2
1426;20492;4
20492;20492;19
28012;8830;2
28012;28012;2
25157;12202;8
12202;12202;5
24593;924;2
381;23437;5
12202;924;3
12202;23305;17
21024;27906;2
28012;28031;2
27992;26394;2
8005;28062;2
23437;23437;5
28062;28062;4
471;28062;2
381;28049;2
25800;23800;4
27906;27906;2
28049;28049;2
20492;23437;2
8820;28086;2
28099;27973;2
12384;28092;2
4710;8820;2
381;8820;16
26138;10463;2
25157;8820;2
24763;8820;2
23800;23800;2
676;21024;9
27911;28085;2
2576;6514;4
25983;21608;2
18626;21024;2
21608;20410;4
20410;20410;4
14906;25983;2
28081;28129;2
28150;4621;6
28150;1256;2
21;20410;2
381;28152;2
28085;28085;2
381;28111;2
11124;843;2
28152;28152;2
836;24885;8
28111;28111;2
4621;4621;15
21608;24885;2
24885;24885;17
27683;9123;2
27979;8005;6
27551;28213;2
8820;9420;4
28218;381;2
27551;24885;2
28152;28209;4
8005;8005;4
8833;23437;2
836;26562;4
28209;28209;2
