owneruserid,userid,NbrOfComments
663,75,1
663,426,1
663,471,1
663,515,1
663,663,1
676,676,11
676,836,1
676,2576,1
676,3313,1
676,3591,1
676,5043,1
676,6550,1
676,8432,2
676,12981,1
676,13165,1
676,13736,1
676,14310,1
676,14360,1
676,15141,2
676,16853,1
676,21024,3
676,25429,2
676,29968,1
676,31094,1
676,39153,1
676,55122,1
684,322,1
684,381,1
684,609,2
684,684,7
684,843,2
684,989,3
684,2507,1
684,2750,1
684,2790,2
684,8820,2
684,10907,1
684,12980,1
684,35698,1
684,59171,2
684,60574,1
684,61445,1
684,71680,1
690,690,2
690,924,4
695,695,1
695,30107,1
700,700,1
700,5211,1
700,30507,1
708,708,1
708,10210,1
710,10345,1
710,20594,1
712,712,3
712,53479,1
712,55122,1
712,67917,1
712,68377,3
713,21,1
714,366,1
714,381,1
721,8501,1
721,39841,1
721,59171,1
723,723,4
723,4710,1
723,4808,1
723,16853,1
723,19261,1
725,471,1
725,725,1
725,924,1
725,24657,1
728,1367,1
728,7848,1
735,97,1
735,735,1
735,762,2
735,872,1
735,8820,1
735,39841,1
737,434,1
737,13498,1
743,84,1
743,456,1
754,24,1
754,381,1
754,754,3
754,984,2
755,64377,1
780,84,2
780,322,2
780,780,3
780,791,3
791,471,1
791,791,1
793,793,1
793,1279,2
793,24982,1
793,35683,1
793,39079,1
793,41000,1
793,47360,1
793,54669,1
800,46590,1
801,158,1
802,97,1
802,471,1
802,802,2
802,2452,1
802,2587,1
802,2854,1
802,3248,1
802,3596,1
802,8878,1
802,9420,1
802,32177,1
802,38976,1
807,807,1
807,11097,1
810,6391,1
811,811,1
811,43077,3
816,816,5
816,924,1
816,1151,1
816,2452,1
816,2830,1
816,3054,1
816,5091,1
816,8501,3
816,9722,1
816,10255,1
816,10372,1
816,13562,1
816,16812,1
816,23380,1
816,26019,2
816,26917,1
816,61832,1
819,21,1
819,381,2
819,819,11
819,2750,1
819,2785,1
819,3054,2
819,3232,3
819,3244,1
819,5043,1
819,5199,3
819,31138,1
836,77,1
836,381,3
836,634,1
836,836,331
836,1237,1
836,1426,7
836,2447,2
836,2750,1
836,5177,1
836,5211,2
836,6672,1
836,8013,2
836,8820,5
836,9465,3
836,10108,2
836,10372,1
836,10640,9
836,10975,1
836,10990,1
836,11097,3
836,12206,1
836,12285,1
836,12302,1
836,12515,1
836,13391,1
836,13457,1
836,13622,1
836,13625,1
836,13736,5
836,13901,4
836,14009,1
836,14013,1
836,14053,2
836,14518,1
836,14675,1
836,14904,4
836,15372,2
836,15412,2
836,15656,1
836,16647,1
836,16853,1
836,17360,2
836,18000,2
836,18416,1
836,18418,1
836,18609,2
836,18619,1
836,18626,8
836,18778,1
836,20544,1
836,20884,2
836,21090,1
836,21148,1
836,21202,2
836,21232,1
836,21319,1
836,21576,3
836,23511,1
836,24000,1
836,24119,5
836,24129,1
836,24351,4
836,24552,1
836,24696,8
836,25429,2
836,25531,1
836,25744,2
836,25772,1
836,25774,1
836,25881,1
836,26085,1
836,26181,1
836,26289,1
836,26394,1
836,26606,2
836,26635,1
836,26800,1
836,26856,1
836,27000,1
836,27526,1
836,27838,1
836,28175,16
836,28317,4
836,28449,1
836,28587,1
836,28600,3
836,28986,2
836,29204,4
836,29365,2
836,29405,2
836,29428,1
836,29832,1
836,29891,2
836,29914,3
836,30006,1
836,30057,1
836,30075,2
836,30314,1
836,30335,3
836,30668,2
836,30900,9
836,31209,1
836,31229,1
836,31424,1
836,31988,1
836,32042,2
836,32343,1
836,32402,2
836,32908,3
836,32989,4
836,33196,1
836,33272,1
836,33338,6
836,33377,2
836,33386,1
836,33392,1
836,33716,3
836,33728,1
836,33948,3
836,34036,1
836,34037,4
836,34042,5
836,34322,5
836,35644,3
836,37056,2
836,37118,1
836,37300,1
836,37363,1
836,37532,1
836,37810,1
836,37866,2
836,38217,3
836,38306,2
836,39212,1
836,39601,1
836,39664,2
836,39896,1
836,39929,5
836,39949,4
836,40515,1
836,40965,1
836,41000,1
836,41672,1
836,41741,1
836,41929,1
836,42094,4
836,42882,3
836,42903,1
836,42953,9
836,43077,9
836,43212,1
836,43645,1
836,43824,1
836,43865,3
836,44530,7
836,44785,1
836,44965,5
836,45264,2
836,45527,3
836,47832,1
836,49032,2
836,49517,7
836,50007,2
836,51309,1
836,51369,2
836,51515,5
836,52206,4
836,52553,1
836,52696,1
836,52793,2
836,53127,1
836,53291,1
836,53479,1
836,54491,1
836,54534,3
836,54661,3
836,55096,1
836,56339,1
836,56342,1
836,56645,1
836,56774,1
836,56858,3
836,56904,2
836,57244,1
836,57385,2
836,57483,1
836,57632,1
836,58433,13
836,58589,3
836,58841,5
836,59271,1
836,59692,1
836,60240,1
836,60542,1
836,60714,1
836,61020,1
836,62294,1
836,62461,1
836,62591,1
836,62771,1
836,63366,1
836,63471,2
836,64760,1
836,65916,1
836,67135,1
836,67328,2
836,67354,1
836,67537,10
836,67659,1
836,69646,1
836,71125,1
836,71567,5
836,73298,1
836,75528,1
836,76484,1
836,76542,1
836,77052,1
836,77101,1
836,77504,3
836,77831,11
836,77900,1
836,78143,1
836,79104,2
836,79504,1
836,79728,1
836,80943,2
836,82841,3
836,88332,1
836,89868,1
837,1244,1
838,21,1
842,74533,1
843,,1
843,14,1
843,381,1
843,836,1
843,843,14
843,924,1
843,1424,1
843,2452,1
843,2723,1
843,7999,1
843,8820,4
843,8995,1
843,10517,1
843,10587,1
843,10663,1
843,10979,1
843,11097,4
843,11124,1
843,12300,1
843,13023,2
843,13123,1
843,13736,1
843,13901,1
843,14674,1
843,14688,1
843,14904,1
843,14909,2
843,15533,1
843,16024,1
843,16964,2
843,17355,1
843,20618,1
843,21560,1
843,25210,1
843,27250,2
843,28671,1
843,32637,1
843,35644,1
843,38887,1
843,53790,1
843,78983,1
846,791,1
846,1011,1
847,136,1
847,381,2
847,506,1
847,676,1
847,836,1
847,847,18
847,989,1
847,1156,2
847,1301,1
847,2742,1
847,3503,3
847,4947,1
847,5067,2
847,5075,3
847,6478,1
847,9646,1
847,9947,2
847,13417,1
847,15693,1
860,860,4
860,27854,3
860,28951,1
860,41000,1
860,43092,1
860,47791,1
860,71824,1
860,79133,1
867,21,1
867,471,1
867,867,4
867,31434,1
867,55122,1
867,57019,1
867,64377,1
867,68975,1
867,69847,1
867,70094,1
867,85597,1
867,85808,1
870,375,1
872,515,1
872,843,1
880,880,1
880,1011,2
883,1107,1
886,23317,1
889,178,1
889,886,1
890,322,1
890,381,1
890,515,1
890,548,6
890,890,1
890,910,7
890,3410,1
890,14518,1
895,322,2
895,895,1
895,8820,1
906,241,1
906,381,1
906,869,1
906,1163,1
906,11097,1
906,12473,1
906,13727,2
908,515,1
913,478,1
913,913,1
917,917,1
917,1155,1
917,2723,2
917,8820,2
921,21,1
924,75,3
924,515,2
924,783,1
924,924,206
924,1281,2
924,2452,1
924,2750,1
924,3151,1
924,4668,2
924,4683,2
924,4933,2
924,5091,1
924,5143,1
924,5161,1
924,5356,2
924,6514,2
924,8501,1
924,8820,3
924,9123,2
924,9191,3
924,9420,2
924,9576,1
924,11044,3
924,11097,1
924,12202,2
924,12345,1
924,12603,2
924,13380,1
924,13447,1
924,13450,1
924,13606,2
924,13727,2
924,13915,3
924,13953,1
924,14313,2
924,14357,2
924,14392,1
924,14504,1
924,14999,2
924,15361,1
924,15569,2
924,15613,1
924,16540,2
924,16853,1
924,16879,2
924,17310,1
924,18139,1
924,18529,2
924,18650,1
924,20407,3
924,20492,1
924,20590,2
924,21257,1
924,23120,3
924,23850,5
924,24003,3
924,24593,1
924,24899,1
924,24994,3
924,25320,3
924,25580,1
924,26126,3
924,27526,2
924,27788,1
924,29412,2
924,30786,1
924,31599,1
924,32902,1
924,32963,4
924,33569,1
924,35479,1
924,35644,1
924,37986,1
924,38377,2
924,38395,4
924,38436,1
924,38538,1
924,40751,1
924,41350,1
924,41377,5
924,41460,1
924,42121,1
924,42214,2
924,42904,3
924,43308,1
924,43455,1
924,43473,3
924,43977,1
924,44375,1
924,45264,1
924,45603,1
924,46288,2
924,46374,1
924,47561,1
924,47676,1
924,47832,1
924,49537,1
924,49914,1
924,50146,11
924,50412,1
924,50491,3
924,50869,1
924,53479,4
924,53497,2
924,53829,1
924,54395,1
924,54799,2
924,56927,1
924,57247,2
924,57570,1
924,58265,1
924,59267,2
924,59627,1
924,61417,3
924,61418,8
924,62128,2
924,62528,1
924,62915,2
924,63103,1
924,63181,1
924,63718,4
924,64126,2
924,64337,1
924,64356,1
924,64377,1
924,65319,3
924,66103,1
924,66137,1
924,66315,1
924,66974,1
924,67328,2
924,68421,3
924,68433,2
924,68766,2
924,69009,2
924,69412,1
924,69452,4
924,69644,4
924,70406,2
924,70530,1
924,71809,1
924,73224,2
924,73786,1
924,73827,2
924,74018,2
924,74266,1
924,74735,1
924,74820,4
924,74985,2
924,75012,1
924,75289,1
924,76209,3
924,76754,1
924,77102,2
924,78059,1
924,78120,1
924,78585,1
924,80106,3
924,86196,7
924,86356,1
924,87038,1
924,90226,1
941,21,2
941,84,1
941,322,1
941,471,1
941,941,4
941,1107,2
941,1138,2
941,2604,1
941,27432,1
947,843,1
947,947,2
947,9793,1
947,10701,1
947,12911,1
947,27003,1
957,227,1
957,957,1
960,62,1
960,84,2
960,227,1
960,553,1
960,836,1
960,960,1
960,3466,1
964,133,1
964,609,2
964,964,18
964,1085,3
964,1241,4
964,1256,2
964,3430,1
964,5356,2
964,8221,1
964,8626,3
964,9215,1
964,12760,1
964,17101,2
964,17933,3
968,886,1
968,14904,1
974,172,1
974,381,1
974,1156,1
974,1367,1
979,21,7
979,84,1
979,979,8
979,1279,1
979,2920,1
979,3436,1
982,2452,1
982,9420,1
984,119,1
984,548,1
984,754,1
984,960,1
984,984,7
984,986,1
984,1315,3
984,1387,3
984,23437,1
984,24931,1
984,33504,1
984,44456,2
985,84,1
985,985,1
985,1061,1
985,8110,2
986,,2
986,743,1
988,381,1
988,471,1
988,802,1
989,6,1
989,21,1
989,84,2
989,322,3
989,381,2
989,836,4
989,847,1
989,924,1
989,989,10
989,1085,1
989,1237,1
989,3342,1
989,5177,1
989,7980,2
989,8878,1
989,10327,1
989,10519,1
989,14617,1
989,16538,1
989,27469,1
989,40422,1
989,54343,1
989,62867,1
989,69562,1
994,178,1
994,953,1
994,1237,1
995,18407,1
1003,1003,4
1003,5224,1
1003,7944,1
1003,8088,3
1011,322,1
1011,1011,1
1011,1028,1
1011,1047,1
1011,1138,1
1011,15361,1
1011,78062,1
1015,84,1
1015,381,1
1021,922,1
1029,1029,18
1029,14518,1
1029,15902,2
1029,35644,2
1029,39963,2
1029,41260,1
1029,45610,5
1029,45898,1
1029,46007,1
1029,46054,1
1029,46055,1
1029,46164,2
1029,47242,1
1029,50641,1
1029,57416,1
1029,57731,3
1029,59171,1
1029,60003,1
1029,62052,1
1029,64651,1
1029,65538,1
1029,65793,1
1029,67437,1
1029,70614,1
1029,73795,1
1029,74560,1
1029,75257,1
1029,90169,1
1047,1138,2
1048,1048,1
1048,3466,1
1048,7848,1
1048,7867,1
1048,12473,1
1077,471,2
1077,924,1
1077,1077,4
1077,2511,3
1077,3024,2
1077,10998,1
1077,16201,1
1077,17815,1
1077,23440,1
1077,25225,1
1085,793,1
1085,836,2
1085,989,1
1085,1085,4
1085,1155,2
1085,69822,1
1093,381,1
1093,816,1
1093,1093,3
1093,9161,1
1093,11097,1
1096,989,2
1097,322,1
1097,381,1
1097,1006,1
1097,1097,2
1097,1279,2
1097,13285,2
1105,1093,1
1105,1105,3
1105,54799,2
1107,322,1
1107,1011,1
1117,62,1
1117,553,1
1117,23240,1
1125,322,1
1125,471,1
1127,,1
1127,816,1
1127,947,1
1127,4705,1
1127,5224,1
1127,5268,1
1127,7980,1
1127,11097,1
1127,32315,1
1131,322,1
1131,836,2
1131,984,1
1131,1131,2
1147,,1
1147,924,1
1147,1085,1
1147,1147,3
1147,1167,2
1151,381,2
1151,836,3
1151,906,1
1151,1151,5
1151,1279,1
1151,5279,1
1151,10816,1
1151,10936,1
1151,13336,1
1151,30633,1
1151,35644,3
1151,39765,1
1151,44256,1
1154,3540,1
1154,18660,1
1155,890,2
1155,941,1
1155,1155,4
1155,1207,2
1155,16922,1
1155,29590,1
1156,1156,14
1156,2452,1
1156,2841,1
1156,5143,1
1156,43077,1
1156,52106,2
1156,57233,4
1156,57493,1
1156,60136,1
1156,60145,1
1156,60506,3
1162,153,1
1162,471,1
1163,237,1
1163,836,1
1163,1163,1
1165,1165,1
1165,1177,1
1192,471,1
1192,1192,2
1192,1196,1
1193,1193,2
1193,21895,1
1193,37113,2
1207,1085,1
1207,1155,1
1207,1207,1
1208,322,1
1208,471,1
1208,984,1
1223,454,1
1223,1223,1
1223,14109,1
1235,21,1
1235,1155,1
1235,1235,1
1235,2723,1
1237,1156,1
1237,1237,1
1237,1241,1
1237,1256,1
1237,3283,1
1240,322,1
1241,1241,4
1241,2781,2
1242,8030,1
1244,381,1
1244,924,2
1244,1244,2
1244,15412,1
1256,,1
1256,961,1
1256,1138,9
1256,1256,5
1256,2452,1
1256,2853,1
1256,3360,1
1256,8938,1
1256,23240,1
1256,28150,1
1256,76853,1
1256,84908,1
1256,88678,1
1272,35661,1
1272,86717,1
1273,92,1
1273,322,2
1273,676,2
1273,1273,3
1279,403,1
1279,609,4
1279,737,1
1279,836,1
1279,883,2
1279,964,2
1279,1193,4
1279,1256,1
1279,1279,22
1279,1301,1
1279,1315,1
1279,2544,1
1279,2576,1
1279,2781,1
1279,2798,1
1279,2878,2
1279,2920,3
1279,2979,1
1279,3044,2
1279,3159,1
1279,3215,3
1279,3321,1
1279,9663,2
1279,11097,1
1279,15817,1
1279,23931,1
1279,24931,1
1279,84712,1
1281,1281,4
1281,14909,5
1283,1283,2
1289,1289,2
1289,30335,3
1300,836,1
1300,1300,1
1301,869,1
1301,906,1
1301,1301,9
1301,1315,1
1301,8319,1
1301,8820,1
1301,24931,2
1301,31283,1
1301,35490,1
1306,1367,1
1314,21,4
1314,322,1
1314,434,1
1314,471,1
1314,2460,1
1315,1315,2
1315,2532,3
1330,156,1
1330,381,1
1330,562,1
1330,836,1
1330,1330,50
1330,2920,1
1330,4715,1
1330,5247,1
1330,5380,1
1330,8501,1
1330,10654,2
1330,10814,2
1330,13100,1
1330,13714,1
1330,14360,2
1330,14560,1
1330,14829,1
1330,14904,1
1330,21319,1
1330,23305,1
1330,24651,1
1330,25837,1
1330,27135,1
1330,27226,1
1330,29033,1
1330,29169,2
1330,29430,1
1330,32101,1
1330,32535,1
1330,32669,1
1330,32882,2
1330,32963,1
1330,33171,3
1330,33838,1
1330,33922,1
1330,34037,1
1330,35644,4
1330,35698,1
1330,37022,1
1330,37330,2
1330,37574,1
1330,37739,1
1330,37866,1
1330,38630,1
1330,39198,1
1330,39564,1
1330,40240,3
1330,41008,1
1330,41612,1
1330,42852,2
1330,43000,2
1330,43077,1
1330,44456,3
1330,44680,1
1330,45262,1
1330,45506,1
1330,46754,4
1330,46782,1
1330,47359,2
1330,47600,2
1330,49159,1
1330,50021,1
1330,50146,1
1330,50471,1
1330,50593,1
1330,50881,1
1330,50946,1
1330,51230,1
1330,51581,1
1330,52089,1
1330,53008,2
1330,53274,1
1330,53900,1
1330,54713,2
1330,55122,5
1330,56164,2
1330,56748,2
1330,56922,1
1330,57099,1
1330,57233,1
1330,57453,1
