OwnerUserId;UserId;NbrOfLinks
44610;27330;1
44610;39854;1
43472;13023;1
15325;27330;1
41557;6418;1
45269;33338;1
45385;27330;1
45385;39854;1
43110;8338;1
43110;23600;1
42681;41108;1
42681;43141;1
11097;14112;1
45527;12515;1
32860;13809;1
43077;13686;2
44886;122;1
24404;45698;1
28175;1426;1
45515;28175;1
45721;39854;1
45033;2790;1
27108;13450;1
45872;45136;1
45892;45766;1
45907;28175;1
12496;13518;1
27526;27330;1
46129;30459;1
46129;3108;1
46120;32916;1
46120;31260;1
44701;45136;1
44701;45872;1
46190;32916;1
46190;31260;1
13518;12496;1
46356;12496;1
13515;39661;1
46433;21691;1
46293;236;1
46522;46288;1
46567;39854;1
46640;28175;1
32288;27330;1
32288;39854;1
44950;35399;1
46703;28175;1
14434;14895;1
46374;42205;1
39830;12496;1
45821;45494;1
32288;45898;1
21707;42781;1
47110;5203;1
41658;13237;1
44256;44477;1
37822;32288;1
16050;29428;1
47474;28175;1
47359;13237;1
47432;39854;1
44044;32288;1
45519;41750;1
45519;39331;2
45519;39830;2
32288;122;1
47693;26800;1
39331;47359;1
46754;13596;1
47473;32288;1
10548;27330;1
49049;29801;1
49105;5246;1
49105;23440;1
37822;28175;1
2893;836;1
40162;40180;1
49290;28175;1
49290;41658;1
43878;35544;1
38506;27330;1
38506;21560;1
44660;47288;1
47359;39854;2
49354;49154;1
46800;12473;1
18434;28175;2
37776;45136;1
37113;2507;1
39830;25867;1
49700;28544;1
40891;42069;1
49700;39661;1
49700;10522;1
50352;39477;1
47442;45892;1
45581;16024;1
50515;40426;1
50563;40426;1
50641;49861;1
50638;27916;1
50531;28567;1
50531;49154;1
50669;37822;1
16162;9461;1
50146;39854;1
21254;26019;1
23305;41658;1
32544;13508;1
49914;47288;1
37585;97;1
2893;10640;1
51099;49700;1
44530;43077;1
50967;49700;1
50402;40426;1
50146;23305;1
51167;21560;1
50811;31676;1
28175;29891;1
51129;8820;1
51129;32288;1
44394;28175;1
44394;17355;1
44394;9465;1
44394;8820;1
50727;23644;1
51462;39854;1
13023;14895;1
44394;41658;1
24984;9793;1
8820;51581;1
44574;35544;1
26019;50727;1
51126;8820;1
51656;30056;1
41726;50603;1
41726;49705;1
51760;23305;2
46375;20618;1
26019;22012;1
51811;28011;1
201;192;1
49162;49697;1
26019;21560;1
51996;26800;1
52121;45191;1
49617;32543;1
32288;8820;1
52207;12496;1
37584;40515;1
37584;24665;1
46305;15613;1
46305;45610;1
47380;50622;1
52476;20618;1
49341;47107;1
52559;84;1
51714;8820;1
52546;16368;1
52605;49067;1
52605;45821;1
47562;37063;1
44673;20327;1
52774;44101;2
52804;27992;1
52269;50158;1
52269;46258;1
52269;555;1
51321;52796;1
37997;49861;1
52793;32288;1
43077;21560;1
47158;11097;1
53068;21560;1
39387;47832;1
47832;43077;1
15828;8820;1
53215;27330;1
53215;39854;1
47832;39854;1
53283;17310;1
52196;42519;1
50074;51209;1
6656;26019;1
37808;26019;1
52726;52684;1
42498;15412;1
43514;15325;1
53283;53797;1
10522;53948;1
54167;33838;1
11097;46375;1
12202;46780;1
32569;43077;2
54383;41108;1
54383;42681;1
13891;2511;2
49268;16753;1
54299;13056;1
54586;8409;1
82;28714;1
28714;82;1
54663;32762;1
50123;45197;1
52480;227;1
47359;28175;3
51125;53361;1
51125;53283;1
26019;1151;2
54623;54055;1
54777;9053;1
51125;50622;1
54670;32429;1
39854;54774;1
45610;30238;1
54954;32459;1
54167;54981;1
56233;20766;1
55028;45892;1
55028;45766;1
56342;8338;1
56412;39014;1
43469;46120;1
43469;39664;1
43469;53818;1
56522;44139;1
56401;38506;1
54329;46132;1
52434;56292;1
56883;32762;1
54383;21560;1
57009;38429;1
53824;3550;1
57098;16050;1
57167;26800;1
44083;1315;1
15569;56522;1
52111;8013;1
57378;30170;2
56854;49067;2
56854;44256;1
56854;44477;1
56854;45821;1
56854;44502;1
57437;31676;1
49737;15569;1
54395;17565;1
57546;30170;1
38864;13518;1
57608;18632;1
23480;46375;1
44456;10291;1
57671;56593;2
48997;43077;1
57823;17484;1
29000;31676;1
29000;57437;1
57967;51129;1
41335;23718;1
57727;32762;1
8820;12515;1
57732;793;1
56237;46893;1
57938;1151;1
57938;13450;1
58067;34036;1
58088;8820;1
57545;51129;1
39052;684;1
37814;54353;1
58334;41204;1
58334;13736;1
58400;26856;1
57214;45299;1
58529;28175;2
58006;45892;1
57731;57724;1
58679;52148;1
58753;43077;1
9011;10522;1
37172;39854;1
58814;28175;1
32220;26800;1
58843;227;1
58890;33777;1
58887;38887;1
58679;46375;1
58977;32860;1
58890;8944;1
39391;59013;1
58761;13237;1
58300;12515;1
59245;59143;1
37156;14434;1
59445;49832;2
57731;39854;1
39380;41741;1
59516;39854;4
49700;50406;1
